D,4,6
T
N,74,4,4,6
73379,4,7
31783,4,8
97447,4,8
18015,4,5
15583,4,7
62950,4,8
N,330,4,5,17
4667,4,4
81343,4,5
24159,4,9
3008,4,9
23783,4,7
62051,4,1
73445,4,1
87735,4,3
87967,4,10
71399,4,10
69171,4,7
60498,4,2
21734,4,3
19683,4,8
89767,4,8
61155,4,10
11911,4,10
N,2299,4,3,11
38294,4,3
98023,4,4
32454,4,6
15943,4,7
77031,4,1
11109,4,8
57062,4,7
46311,4,4
65245,4,9
70375,4,5
48225,4,9
N,267,4,3,18
74437,4,6
11492,4,10
94943,4,6
23158,4,2
39646,4,6
6211,4,7
23999,4,7
28350,4,4
68259,4,10
64801,4,9
21154,4,3
56991,4,7
39645,4,5
31825,4,2
44751,4,7
73442,4,10
82775,4,5
38374,4,9
N,2302,4,3,19
96967,4,7
85727,4,3
6119,4,7
95079,4,6
80349,4,10
5149,4,4
18392,4,9
73255,4,8
38631,4,9
52959,4,6
97942,4,2
23143,4,1
21095,4,6
30038,4,2
87239,4,4
5183,4,8
63167,4,5
24895,4,9
40550,4,10
N,2175,4,5,13
5027,4,9
46771,4,6
81633,4,9
65253,4,8
95974,4,4
6215,4,6
88255,4,5
13605,4,6
89159,4,8
1535,4,9
86876,4,3
59771,4,8
52967,4,8
N,2291,4,4,12
5215,4,7
32470,4,10
21719,4,6
72935,4,7
40399,4,6
15045,4,8
14215,4,10
47823,4,5
81602,4,7
89430,4,8
16083,4,7
55015,4,9
N,1089,4,5,5
70691,4,8
56537,4,4
24014,4,2
64926,4,4
68831,4,9
N,1277,4,4,20
79559,4,4
19634,4,6
24295,4,9
40031,4,10
64399,4,10
28379,4,5
88615,4,7
15311,4,8
2051,4,4
44775,4,7
54471,4,6
56479,4,9
30325,4,9
53845,4,5
73447,4,7
22115,4,2
2098,4,1
64615,4,9
39646,4,3
30428,4,9
N,1209,4,3,13
55686,4,2
72903,4,2
85159,4,4
57060,4,10
76511,4,6
40641,4,1
3395,4,3
57061,4,5
89583,4,1
40411,4,4
44384,4,7
86920,4,3
36455,4,10
N,1909,4,5,17
20030,4,2
43995,4,10
47060,4,5
79587,4,9
8887,4,10
79047,4,10
40032,4,9
7229,4,5
63171,4,10
22175,4,7
39187,4,8
39654,4,1
55250,4,4
4885,4,1
24292,4,4
78534,4,5
23462,4,4
N,291,4,3,6
81503,4,5
78756,4,1
60902,4,4
40087,4,9
87934,4,2
56487,4,9
N,99,4,4,12
65179,4,4
71141,4,10
89830,4,1
5895,4,8
73138,4,6
47332,4,2
22053,4,9
43615,4,10
97503,4,5
15366,4,8
24227,4,10
5182,4,4
N,328,4,4,10
6175,4,7
10903,4,8
46772,4,6
35527,4,4
32455,4,1
88359,4,6
