P,6,3,55,3287.45
P,6,3,203,371.81
P,6,3,987,4198.42
P,5,4,755,1610.8
P,6,4,2283,3806.03
P,6,3,310,4362.14
P,6,3,2043,1534.47
P,6,5,321,4296.92
P,6,3,254,1965.62
P,6,5,41,4763.24
P,6,3,1278,374.51
P,6,5,2227,2727.36
P,8,9,1277,3568.7
P,6,3,267,1902.42
P,6,3,2986,1814.28
P,6,4,331,488.57
P,6,3,771,4576.57
P,6,3,771,1575.61
P,5,5,992,3625.11
P,6,4,199,1388.0
P,6,5,2273,4909.47
P,6,3,1279,833.39
P,6,3,695,2412.7
P,6,4,186,741.73
P,6,5,2178,1447.88
P,6,3,2241,1266.23
P,6,4,1792,122.43
P,6,4,1153,628.14
P,6,5,307,3131.88
P,6,4,707,718.79
P,6,4,744,4798.1
P,6,4,99,3191.85
P,6,4,1117,3839.46
P,3,9,2278,888.86
P,6,5,2163,1281.15
P,6,3,331,529.76
P,6,5,1282,1041.3
P,6,3,330,3118.25
P,6,4,1210,2074.81
P,6,4,1282,4963.3
P,6,5,1281,4911.93
P,6,3,1191,2294.31
P,6,3,327,3232.93
P,6,3,2273,2173.44
P,6,4,2238,1507.58
N,643,6,5,7
19923,6,5
23470,6,5
72851,6,6
68274,6,1
6213,6,8
81623,6,3
64678,6,1
N,1635,6,4,14
96347,6,8
89699,6,7
14020,6,5
98015,6,5
72407,6,4
60851,6,6
21205,6,5
69286,6,10
93831,6,6
2868,6,2
30821,6,4
45235,6,5
85725,6,5
73367,6,3
N,1155,6,3,20
5059,6,4
79573,6,2
56374,6,3
37503,6,6
65249,6,5
5919,6,1
80167,6,8
73126,6,4
22999,6,5
30375,6,10
89672,6,6
99813,6,4
9653,6,6
73447,6,2
5150,6,3
2886,6,4
32423,6,8
23211,6,10
39507,6,4
45613,6,3
N,1027,6,5,9
46811,6,8
24286,6,1
65251,6,8
16055,6,10
30437,6,7
7739,6,2
31591,6,7
44770,6,2
77543,6,9
N,200,6,5,19
24280,6,8
6214,6,4
53406,5,9
64607,6,6
40671,6,6
24070,6,7
13415,6,2
11987,6,8
35543,6,5
69302,6,4
97959,6,9
81575,6,5
14199,6,7
60935,6,6
44725,6,4
16023,6,6
16103,6,4
48580,6,7
73823,6,7
N,2176,6,4,15
15075,6,3
84647,6,7
6151,6,8
73379,6,8
73063,6,9
21151,6,5
79587,6,10
25027,6,1
48267,6,9
32443,6,8
64711,6,4
24151,6,6
14275,6,3
64095,6,5
87777,6,1
N,1282,6,3,9
14339,6,2
5377,6,2
15966,6,5
48871,6,9
64731,6,1
15527,6,10
65254,6,6
853,6,5
4551,6,4
N,283,6,3,9
56487,6,3
73445,6,4
5699,6,4
27111,6,10
28391,6,3
5125,6,9
98023,6,5
6203,6,5
75491,6,8
N,2092,6,3,11
10295,6,1
40327,6,1
2055,6,4
72870,6,7
65254,6,7
2436,6,4
88701,6,9
15831,6,2
43429,6,2
81019,6,7
95078,6,7
N,2179,6,5,11
73440,6,2
57062,6,2
47831,6,5
93863,6,10
51877,6,9
93837,6,6
89831,6,10
97999,6,4
13855,6,9
52963,6,5
48610,6,8
N,1147,6,3,11
69093,6,4
6198,6,9
13829,6,6
24221,6,9
